LastDayWeek,temperature_76001,temperature_54001,temperature_50001,temperature_73001,temperature_68001,temperature_41001,temperature_23001,temperature_05001,temperature_05360,temperature_08001
2007-01-06,26.79899444,28.71625314,30.49998747,24.94696449,30.52705854,26.80822705,31.54484751,18.89146665,19.47231201,32.40434174
2007-01-13,27.44533805,26.01482321,32.67914374,24.26414427,29.50393968,25.54038952,32.84203862,22.23426252,20.91733876,32.19558685
2007-01-20,26.66390697,24.00181602,31.51561175,20.0831746,29.5403895,30.24784542,32.18097959,22.26875914,22.19878214,31.60941598
2007-01-27,28.15620197,27.88880179,33.2146602,23.46074695,28.28170529,29.73970678,32.14046354,23.54603744,27.95981086,33.31645787
2007-02-03,26.31767378,31.45489137,34.92263564,22.73602973,31.10632025,27.31350842,32.51694279,25.35307147,28.22246033,32.42297341
2007-02-10,26.28659467,30.48376342,34.41974456,24.46224566,30.60299897,25.54949779,35.58758893,25.29134423,26.71943903,33.53880706
2007-02-17,23.69057881,30.30680528,33.14730736,22.44452303,29.6580459,25.68800879,35.32125815,24.71922473,28.67712232,33.46434583
2007-02-24,26.35254967,29.73905788,33.44844797,26.4377574,31.6486307,28.34389333,37.46212883,25.92686035,29.04568227,34.81216451
2007-03-03,27.18805741,30.62776263,34.14034784,25.9787679,30.73432841,30.63435643,35.57753127,26.676928,28.6684363,35.8545724
2007-03-10,28.88159572,29.79998825,36.47669337,25.45213834,26.61172194,31.77577446,34.62609966,27.06151415,29.95044164,34.55954293
2007-03-17,32.00844107,30.98715873,32.19663626,27.72528024,30.72526741,27.79603127,34.90852183,26.74863717,29.36327582,33.83253658
2007-03-24,31.32415137,29.59655503,27.55522734,30.7887212,30.8288696,23.91645884,35.33743276,26.35350814,28.64283204,31.69013754
2007-03-31,30.55288088,28.31513191,29.01430151,27.0288618,29.96570221,24.57256357,36.28558869,17.00163276,26.12636931,36.49657382
2007-04-07,29.9304707,28.04636353,29.35697639,25.48432307,27.12367331,28.44962797,35.54192417,22.57687544,25.99821281,37.44362928
2007-04-14,29.08143242,29.25295258,29.09545971,24.9994734,26.98570358,28.12705314,33.49215257,25.82904758,23.4854234,36.09400348
2007-04-21,30.37593552,31.48896433,27.00505616,21.64979266,28.3616911,28.21080059,31.47344005,27.20426923,27.02784186,32.83590862
2007-04-28,31.94906209,27.34027772,29.90094663,24.99804859,29.17956063,25.19479292,30.91049725,22.9223568,27.87597163,30.45007462
2007-05-05,27.59364722,29.58023459,31.91582739,25.98217817,30.3350789,27.42870457,30.26174709,25.29692189,28.40109392,31.86317073
2007-05-12,30.04500342,30.86797921,29.45959587,21.45735853,27.92576376,22.09696017,32.53210278,21.46795259,30.17235597,32.14986063
2007-05-19,28.5803001,28.20773849,28.48799694,24.06998008,29.69677739,25.3210769,30.9269902,25.56411431,27.96359484,30.8904363
2007-05-26,27.77963077,27.89352875,24.48553513,22.92736957,28.01722235,20.00825269,30.00423307,24.8595612,26.62057778,30.25754519
2007-06-02,27.66121624,28.47639588,19.00043299,21.71781986,25.62114044,20.98424173,30.17936584,24.79952604,28.39239645,28.93097049
2007-06-09,27.96237028,30.26984994,25.41617401,26.16294922,28.61511686,23.60062171,30.59955366,24.64187317,27.6230315,33.62609091
2007-06-16,22.84013246,31.61971166,26.08934446,23.30802542,29.51304884,25.35407101,29.58807227,22.98746908,29.74849927,30.21602676
2007-06-23,28.58909218,28.49290961,25.81162742,27.38346192,31.61016432,24.69388234,27.05155846,23.03454049,29.01190865,30.08838141
2007-06-30,30.47554592,29.059348,25.81162742,25.26523437,27.70675006,23.43082208,27.40734885,22.7967059,26.21613127,30.63526882
2007-07-07,26.28503718,30.9629864,26.22917348,25.16524665,24.50151602,25.85447551,29.16811729,24.90510337,28.76433887,34.30383686
2007-07-14,25.73596102,28.90967659,26.18530235,26.77068384,26.4973715,24.75936178,29.56089674,22.36029264,27.32254907,32.18602335
2007-07-21,27.21603373,32.96498739,27.78362039,27.9428248,30.7903386,29.3001417,26.6751639,21.38905108,27.35132043,32.42758725
2007-07-28,25.92912012,31.74119484,28.50072735,20.49965818,30.23107347,27.52905213,27.94520177,21.85880684,25.70640489,29.80647281
2007-08-04,28.28944417,29.72514988,28.56038575,22.96175813,28.16733449,29.46386904,30.55638521,23.45930144,27.91640078,33.55300089
2007-08-11,30.87011022,29.40755241,29.33954004,27.37742592,26.55393027,32.22748575,31.49097023,19.77717214,27.62452527,30.89666607
2007-08-18,29.12882115,29.98024242,29.66389657,26.1381937,26.30829934,30.79331756,31.02607021,22.90343676,25.91785458,33.37864767
2007-08-25,28.14285629,28.98817077,30.59006372,23.97608292,25.68094826,27.36892727,30.2652872,24.17673563,23.69294501,32.65544708
2007-09-01,26.00724579,26.8498327,30.58520839,24.55244391,27.0462658,28.71689196,28.67335451,23.74477761,25.60578492,28.9938591
2007-09-08,29.05601809,27.92171466,28.35874014,28.40049218,29.34604256,30.61959855,30.2926533,24.54896351,27.28357451,30.43152715
2007-09-15,30.75688627,30.46728514,30.00377547,28.23945336,31.733689,34.77998573,30.58905225,25.446108,28.6828561,28.47726566
2007-09-22,29.59608702,29.41854429,24.19673306,22.59555566,30.07256215,34.53668574,29.96655329,23.73752707,23.88706961,30.43974073
2007-09-29,28.53554689,28.65720151,28.01703205,26.2098986,31.55716595,31.68170228,30.90407712,26.83018196,28.49943716,27.07960053
2007-10-06,27.0601835,30.7288932,28.81757094,27.90698104,32.47637994,29.55901131,30.95318508,26.01997464,28.1511244,25.5621208
2007-10-13,28.18978146,27.47317012,28.39788066,25.1079367,27.5235826,27.04324165,29.90884816,24.92697133,27.61952372,26.49241933
2007-10-20,26.55559627,27.04449827,26.31362186,22.02140401,28.74555054,32.13620887,31.51044109,23.48859164,26.08977805,23.2743507
2007-10-27,31.49300586,28.90585047,28.12103409,21.05846503,29.42096847,26.69437444,28.71607129,23.66470245,26.6067512,27.58756887
2007-11-03,28.12272874,25.94180556,29.37583714,20.15314865,27.15994113,16.25284072,30.35696393,22.04198789,26.13175123,29.41437577
2007-11-10,29.78634754,25.98968817,29.48625739,22.20656577,28.4783389,18.77899034,28.96845757,24.11999757,27.77335097,29.99495347
2007-11-17,28.49787198,27.51522658,29.19184404,25.4953795,26.9460424,27.30502447,29.49758744,25.03261362,29.31378193,30.50780203
2007-11-24,27.36625014,27.30497684,29.6843374,26.04844317,28.38814523,27.07425149,29.09678932,22.48993122,27.27736608,28.57223887
2007-12-01,24.03824412,26.82870411,29.59737738,22.19732656,28.17069997,26.72269813,29.42661649,23.62682399,26.98021134,31.38415736
2007-12-08,26.16190878,25.57256328,26.06861161,20.7164441,24.6670902,26.73361458,30.70043195,23.0460748,26.21734993,31.55694058
2007-12-15,27.63782737,25.59953934,30.02500597,19.5452083,29.44835548,23.2017093,30.66012998,24.10439944,23.80404612,29.41488426
2007-12-22,27.87682598,25.91128068,30.3719666,20.44778141,28.70730489,27.83122713,30.15653636,23.99284627,24.10865576,31.62202822
2007-12-29,28.95325076,26.17716655,29.54709066,20.90667951,27.88329806,27.03146996,30.76297417,21.17214019,24.7790005,32.49863258
2008-01-05,28.57290933,25.18123515,27.46900247,23.28097336,31.28010828,23.18539578,31.37957468,21.26815252,26.75549866,31.74568954
2008-01-12,27.06011225,24.5398423,28.81387864,19.55181356,25.94955292,22.92686038,30.21979964,22.46065638,26.53094624,32.45930837
2008-01-19,26.72293686,27.10710273,30.34813697,17.74324512,27.92477437,21.56171895,31.2936463,20.49443188,24.86699905,34.14292912
2008-01-26,27.00551617,28.02318892,32.16136975,17.56196595,28.12972703,25.61104512,32.39183012,22.61933167,21.2061684,32.90464316
2008-02-02,27.75555056,27.31875227,31.51924887,18.04578128,25.91873628,24.8124669,32.34511432,23.66083876,25.13339853,34.56234109
2008-02-09,28.26040603,27.26441276,32.88412027,25.18089855,29.25375354,27.28172658,34.04823306,23.73529048,27.40138569,34.38080041
2008-02-16,31.08787824,27.11438857,32.97647151,23.77664982,28.40300353,28.28827073,33.58142487,23.40594627,25.98719264,33.20491385
2008-02-23,27.6608622,24.55635049,33.37982996,14.93933264,25.79216883,23.99757405,34.43054184,24.39116653,25.48658829,32.63075913
2008-03-01,25.82070642,28.67018353,30.17658244,18.31351392,27.74709185,26.24604985,34.17138919,23.45084289,26.63654106,33.94422474
2008-03-08,23.3086814,26.88719121,36.13842319,17.14781368,23.93361063,25.79913696,36.65080056,23.53076333,23.90958456,37.49578151
2008-03-15,25.29406107,27.69987874,34.16791097,19.12858535,26.50004097,24.97999705,36.6145206,21.91996828,17.14843447,35.65639865
2008-03-22,29.90789735,27.13182254,30.78673547,22.5523245,27.01960695,22.69214059,34.73017249,24.45687008,28.70301193,32.73342496
2008-03-29,30.45354188,27.39676225,33.20532685,20.82892727,25.53074286,24.1589703,34.69366394,24.29125437,26.93169907,35.43618032
2008-04-05,26.14965508,27.96467809,33.45160726,23.57484147,27.23599199,26.32363059,36.41289909,23.43384125,25.82342124,36.4191641
2008-04-12,27.49465664,28.15978648,33.15277239,21.75324975,26.76753729,24.76149623,37.6888023,24.94975218,28.47767727,33.30609075
2008-04-19,27.72806822,29.72547617,33.15277239,25.76790021,28.12010026,22.07047609,38.5971299,25.57500982,26.60593267,37.26841888
2008-04-26,27.74608337,29.66093035,33.15277239,26.96434391,27.49462471,22.04957062,37.20752819,25.83519951,25.45075421,37.03547964
2008-05-03,26.85995356,28.3291439,31.23982641,26.96434391,28.37812316,26.73854964,29.16426644,26.91931659,27.06316178,39.36969788
2008-05-10,25.20362085,29.61901564,29.19675778,21.48991665,29.20890602,26.98567686,30.56204521,26.76703354,27.3485304,36.81850106
2008-05-17,25.53220877,27.53300053,28.45016821,24.54251694,29.80524316,25.99039506,30.98317038,24.94628598,27.76287174,31.90834376
2008-05-24,24.58562617,27.81658503,27.75024202,25.78660691,30.27773205,24.44098665,30.12600543,23.87944368,25.41302996,32.77620771
2008-05-31,24.71678238,27.60584064,28.04756968,25.72397429,26.33740133,24.95363135,30.28535554,23.25117457,25.81413024,38.21312564
2008-06-07,23.96101645,29.65129682,28.23708396,23.41797444,26.60879357,25.59220577,29.31321235,22.38321597,26.11122444,35.21743062
2008-06-14,20.93024082,28.09210234,28.62728091,24.41686796,28.86136552,26.68949255,27.41834951,24.12510948,27.57090906,32.38308819
2008-06-21,26.75691781,29.32546092,28.33524815,20.56203948,28.78696714,28.7691285,28.66487283,17.77134836,24.51151445,32.23372956
2008-06-28,24.74299712,27.40612958,26.89263815,20.3938518,23.14618961,24.60723473,29.60976097,22.46680069,24.89718934,33.35137709
2008-07-05,22.78847079,29.3628957,26.07699568,26.76125852,25.95281282,23.15716281,28.62973296,27.93636361,27.87573228,32.67276241
2008-07-12,30.74619018,26.03855934,26.07699568,23.57519456,26.56714971,22.28799643,29.45191082,27.82423922,28.65673569,33.85289498
2008-07-19,29.56454119,28.75602306,26.73430752,22.39193337,22.02887788,23.86653065,29.24833302,27.42301728,28.68812657,34.28187998
2008-07-26,28.24090036,27.58377407,23.74705029,24.38591762,28.98954986,26.65448639,30.68842979,23.21309043,24.50341498,33.74754819
2008-08-02,27.88500601,26.99109967,26.72772973,23.95951619,30.94437216,31.60579375,29.93807699,22.30968945,22.72904261,35.01173333
2008-08-09,25.2300162,28.73226285,27.69382891,22.95278064,31.48020591,28.4894053,29.35186282,21.45250797,25.04742106,32.1441968
2008-08-16,25.79494615,26.69068545,27.23818353,27.64086227,32.25867207,32.87364801,29.00733004,24.31414075,27.2250268,32.7636033
2008-08-23,25.4178348,29.37785528,26.30177941,23.56232649,29.17001634,27.9190734,29.92352551,26.83865993,26.18693993,33.46996763
